country,iso3,anticipation,agency,coordination,trust,learning,experimentation,adaptability,building,shared_purpose
Brazil,BRA,22.3,31,,,48.5,26,49.6,9.4,29
United States,USA,71,84.6,,,54.3,46.4,75.1,48.3,31.6
Netherlands,NLD,68.3,67.5,,,78,19.1,91,31,98.1
Switzerland,CHE,81.1,69.2,,,77.3,47.4,88.8,54.4,42.1
Singapore,SGP,76.3,79.6,,,57.5,34.2,80.5,70.9,
South Korea,KOR,79.3,74.2,,,61.9,75,82.6,64.4,53.8
Estonia,EST,61.1,78.7,,,65.6,28.1,55.2,19,82.4
India,IND,1.1,18.2,,,12.3,3.9,30.3,29,50
Chile,CHL,29.7,55.2,,,58.4,43.6,56,20.6,49.3
South Africa,ZAF,20.7,23.9,,,25.7,13.6,15.2,10,50
Mexico,MEX,19.7,27.4,,,47.3,30,53.6,28.1,40.9
Argentina,ARG,16.8,24.9,,,61.8,20.7,42,15.6,29.7
Colombia,COL,11,26.8,,,48.9,37.7,49.4,11.2,21.9
Peru,PER,11.6,21.2,,,47.8,17.1,54.2,15.4,48.2
Uruguay,URY,16.6,40.4,,,54.8,30.5,65,21.2,53.5
Costa Rica,CRI,21.8,23.4,,,56.6,23,49.8,31.4,32.3
Germany,DEU,71.3,51.2,,,64.5,45.9,85.8,61.7,46.1
France,FRA,56.7,65.2,,,70.1,45.1,73.7,41.5,80.8
United Kingdom,GBR,61.9,79.2,,,84.8,33.6,73.3,37.6,87.9
Spain,ESP,53.7,55.6,,,68.9,11.1,63.5,22.5,57.3
Poland,POL,51.6,29.3,,,56.3,9.8,68.8,23,74
Sweden,SWE,83.4,71.3,,,78.1,17.4,78.6,33.8,93.4
Finland,FIN,83,66,,,92,18.8,73.2,32.8,95.2
Ireland,IRL,63.6,63.4,,,62.7,,70.6,69.2,72.9
Canada,CAN,63,75.5,,,61.7,16.3,80.4,17.5,57.4
Australia,AUS,62.3,83.1,,,82.9,33.5,81.2,27.1,79.4
Japan,JPN,62.5,58.3,,,43.9,67.2,85.9,40.3,49.2
China,CHN,18.5,71.5,,,56.4,97.2,81.8,64.4,31.9
Indonesia,IDN,13.4,14,,,22.5,0.2,52.8,33.2,45.3
Vietnam,VNM,7.4,33.6,,,20.1,4.2,71.8,52.8,
Philippines,PHL,11.5,4.1,,,34.1,0,44.4,44.1,45.5
Malaysia,MYS,28.8,47.9,,,31.5,2.7,56.8,59.3,37.9
Thailand,THA,22.3,59.4,,,28.5,1.5,63.7,46.4,58.1
Turkey,TUR,28.3,34.8,,,45.2,42.8,44,35.8,46.4
Israel,ISR,72.3,50.4,,,52.1,8.5,73.2,27.3,70.7
United Arab Emirates,ARE,24.7,57.1,,,31.9,3.8,85.4,30.8,48.4
Nigeria,NGA,0,21.8,,,15.9,0,54.9,3.4,
Kenya,KEN,2.1,23.6,,,23.3,0,29.2,5.7,46.1
Rwanda,RWA,1.7,28,,,25.6,0,20.9,17.8,41.9
Ethiopia,ETH,0,3.7,,,5.9,0,34.2,6.1,40.2
